Workspace,Store,Layer,Description,URI,Default Style,Observable Concept,Observation Concept,Units,Native SRS,Declared SRS,PublicPrivate,CommercialUse,Comments,Contact
,cattle_population,cattle,FAO Gridded Livestock of the World,file:/raid/geodata/coverages/global/livestock/cattle.tif,raster,waterSupplyService:CattlePopulation,measurement:Count,/km^2,EPSG:4326,EPSG:4326,Public,No,Dissemenation of material in this information product for educational or non-commercial purposes are authorized without any prior written permission from the copyright holders provided the source is fully acknowledged.,copyright@fao.org for commercial use questions
,coastal_nutrient_inputs,coastal_nutrient_inputs,Coastal nutrient inputs from Halpern et al 2008,file:/raid/geodata/coverages/marine/nutrient_inputs_halpern/nutrient.tif,raster,fisheries:NutrientRunoff,measurement:Measurement,t/year,EPSG:4326,EPSG:4326,Public,Yes,NCEAS product,"walbridge@nceas.ucsb.edu, ebert@nceas.ucsb.edu (contacted Walbridge in Nov. 2011 with no response; tried again 1/22/12)"
#,dem90m,dem90m,SRTM global 90 m DEM,file:/raid/geodata/coverages/dem90m,raster,geophysics:Altitude,measurement:Measurement,m,EPSG:4326,EPSG:4326,Public,Yes,NASA product,
,goats_population,goats,FAO Gridded Livestock of the World,file:/raid/geodata/coverages/global/livestock/goats.tif,raster,waterSupplyService:GoatsPopulation,measurement:Count,/km^2,EPSG:4326,EPSG:4326,Public,No,Dissemenation of material in this information product for educational or non-commercial purposes are authorized without any prior written permission from the copyright holders provided the source is fully acknowledged.,copyright@fao.org for commercial use questions
,hsg_global,hsg_global,UVM Spatial Analysis Lab global hydrologic soils group,file:/raid/geodata/coverages/global/hydrologic_soils_group/hsg.tif,raster,habitat:HydrologicSoilsGroup,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,Developed by the SAL for the MIMES project,
#,hydrosheds,hydrosheds,HydroSHEDS flow direction,file:/raid/geodata/coverages/hydrosheds,raster,geophysics:FlowDirection,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,impervious_global,impervious_global,NOAA-NGDC global impervious surface data,file:/raid/geodata/coverages/global/impervious_surface/imperviousGlobal.tif,raster,habitat:PercentImperviousSurface,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,NOAA product,
,L_argentimaculatus_abundance,L_argentimaculatus_mg_abund,"Relative habitat abundance for Madagascar, derived from Sea Around Us data",file:/raid/geodata/coverages/marine/fish_spp/L_argentimaculatus_Mg_abun.tif,raster,fisheries:LutjanusArgentimaculatusAbundanceMg,measurement:Measurement,kg/km^2*year,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,w.cheung@fisheries.ubc.ca - OK to redistribute (1/27/12); will get back re: collaboration for greater data sharing
,L_argentimaculatus_habitat,L_argentimaculatus,Habitat - Sea Around Us Project,file:/raid/geodata/coverages/marine/fish_spp/L_argentimaculatus.tif,raster,fisheries:LutjanusArgentimaculatusHabitat,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,w.cheung@fisheries.ubc.ca - OK to redistribute (1/27/12); will get back re: collaboration for greater data sharing
,L_borbonicus_abundance,L_borbonicus_mg_abund,"Relative habitat abundance for Madagascar, derived from Sea Around Us data",file:/raid/geodata/coverages/marine/fish_spp/L_borbonicus_Mg_abun.tif,raster,fisheries:LethrinusBorbonicusAbundanceMg,measurement:Measurement,kg/km^2*year,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,w.cheung@fisheries.ubc.ca - OK to redistribute (1/27/12); will get back re: collaboration for greater data sharing
,L_borbonicus_habitat,L_borbonicus,Habitat - Sea Around Us Project,file:/raid/geodata/coverages/marine/fish_spp/L_borbonicus.tif,raster,fisheries:LethrinusBorbonicusHabitat,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,w.cheung@fisheries.ubc.ca - OK to redistribute (1/27/12); will get back re: collaboration for greater data sharing
,L_mahsena_abundance,L_mahsena_mg_abund,"Relative habitat abundance for Madagascar, derived from Sea Around Us data",file:/raid/geodata/coverages/marine/fish_spp/L_mahsena_Mg_abun.tif,raster,fisheries:LethrinusMahsenaAbundanceMg,measurement:Measurement,kg/km^2*year,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,w.cheung@fisheries.ubc.ca - OK to redistribute (1/27/12); will get back re: collaboration for greater data sharing
#,L_mahsena_habitat,L_mahsena ,Habitat - Sea Around Us Project,file:/raid/geodata/coverages/marine/fish_spp/L_mahensa.tif,raster,fisheries:LethrinusMahsenaHabitat,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Uncertain,Sea Around Us Project,w.cheung@fisheries.ubc.ca - OK to redistribute (1/27/12); will get back re: collaboration for greater data sharing
,lulc_glc2000,landcover_glc2000,Global Land Cover 2000,file:/raid/geodata/coverages/global/LULC/landcover_glc2000.tif,raster,glc:GLCNumeric,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Private,No,"Need to get written permission from GLC2000 project for non-commercial, properly attributed use (http://bioval.jrc.ec.europa.eu/products/glc2000/disclaimer.php)",Contacted early Jan 2012 with no response (glc2000.info@jrc.it)
,lulc_globcover_2005-06,landcover_globcover_2005-06,Globcover 300m Resolution - 2005-2006,file:/raid/geodata/coverages/global/LULC_GlobCover/Globcover_0506.tif,raster,glc:GlobcoverNumeric,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Private,No,GlobCover product,
,lulc_globcover_2009,landcover_globcover_2009,Globcover 300m Resolution - 2009,file:/raid/geodata/coverages/global/LULC_GlobCover/Globcover_2009.tif,raster,glc:GlobcoverNumeric,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Private,No,GlobCover product,
,mean_annual_precip_global,annual_precip_global,Mean annual precipitation from WorldClim,file:/raid/geodata/coverages/global/precip/bio_12.tif,raster,habitat:AnnualPrecipitation,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Private,No,Redistribution not allowed without prior permission,Contacted early Jan 2012 with no response (http://www.worldclim.org/contact)
,monthly_temp_dec,tmp_dec_global,U. East Anglia Climate Research Unit monthly mean temperatures,file:/raid/geodata/coverages/global/monthly_temperature/tifs/tmp_dec.tif,raster,geophysics:DecemberMeanGroundSurfaceTemperature,measurement:Measurement,°C,EPSG:4326,EPSG:4326,Public,Yes,http://opendatacommons.org/licenses/odbl/1.0/,
,monthly_temp_jan,tmp_jan_global,U. East Anglia Climate Research Unit monthly mean temperatures,file:/raid/geodata/coverages/global/monthly_temperature/tifs/tmp_jan.tif,raster,geophysics:JanuaryMeanGroundSurfaceTemperature,measurement:Measurement,°C,EPSG:4326,EPSG:4326,Public,Yes,http://opendatacommons.org/licenses/odbl/1.0/,
,N_fertilizer_manure,N_fertilizer_manure,Potter et al. (in press) nitrogen fertilizer and manure application,file:/raid/geodata/coverages/global/fertilizer_manure/NfertPlusManure.tif,raster,policytarget:NitrogenFromFertilizerAndManure,measurement:Measurement,kg/ha*year,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Navin Ramankutty for permission,navin.ramankutty@mcgill.ca (emailed 1/21/12)
,npp_modis,npp_modis,NASA MODIS NPP,file:/raid/geodata/coverages/global/npp/npp_modis1km.tif,raster,carbonService:VegetationAndSoilCarbonSequestration,measurement:Measurement,t/ha*year,EPSG:4326,EPSG:4326,Public,Yes,NASA product,
,pig_population,pigs,FAO Gridded Livestock of the World,file:/raid/geodata/coverages/global/livestock/pigs.tif,raster,waterSupplyService:PigsPopulation,measurement:Count,/km^2,EPSG:4326,EPSG:4326,Public,No,Dissemenation of material in this information product for educational or non-commercial purposes are authorized without any prior written permission from the copyright holders provided the source is fully acknowledged.,copyright@fao.org for commercial use questions
,population_density_global,popdens_2006,LANDSCAN global population density data,file:/raid/geodata/coverages/global/population_density/popDens2006.tif,raster,policytarget:PopulationDensity,measurement:Count,/km^2,EPSG:4326,EPSG:4326,Private,No,Per license agreement with LandScan,
,population_density_global_2011,popdens_2011,LandScan 2011 Population Density,file:/raid/geodata/coverages/global/population_density/LandScan11.tif,raster,policytarget:PopulationDensity,measurement:Count,,EPSG:4326,EPSG:4326,Private,No,LandScan Declassified ,
,potential_evapotranspiration_global,pet_global,CGIAR Global Aridity and PET Database,file:/raid/geodata/coverages/global/pet/pet.tif,raster,habitat:PotentialEvapotranspiration,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,OK for redistribution with written permission and proper attribution (received OK 1/7/12),
,poultry_population,poultry,FAO Gridded Livestock of the World,file:/raid/geodata/coverages/global/livestock/poultry.tif,raster,waterSupplyService:PoultryPopulation,measurement:Count,/km^2,EPSG:4326,EPSG:4326,Public,No,Dissemenation of material in this information product for educational or non-commercial purposes are authorized without any prior written permission from the copyright holders provided the source is fully acknowledged.,copyright@fao.org for commercial use questions
,poverty_global,poverty_pct,NOAA-NGDC global poverty data,file:/raid/geodata/coverages/global/poverty/poverty_pct_1.tif,raster,policytarget:PovertyPercentage,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,NOAA product,
,RUSLE_conservation_practice,rusle_pfactor,RUSLE p factor,file:/raid/geodata/coverages/global/erosion/pfactor.tif,raster,soilRetentionService:ConservationPractice,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Dawen Yang for redistribution permission,yangdw@tsinghua.edu.cn (emailed 1/21/12)
,RUSLE_cover_management,rusle_cfactor,RUSLE c factor,file:/raid/geodata/coverages/global/erosion/cfactor.tif,raster,soilRetentionService:CoverManagement,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Dawen Yang for redistribution permission,yangdw@tsinghua.edu.cn (emailed 1/21/12)
,RUSLE_potential_soil_loss,rusle_soil_loss,RUSLE potential average annual soil loss,file:/raid/geodata/coverages/global/erosion/annual_loss.tif,raster,soilRetentionService:AnnualSedimentSource,measurement:Measurement,t/ha,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Dawen Yang for redistribution permission,yangdw@tsinghua.edu.cn (emailed 1/21/12)
,RUSLE_rainfall_runoff_index,rusle_rfactor,RUSLE r factor,file:/raid/geodata/coverages/global/erosion/rfactor.tif,raster,soilRetentionService:RainfallRunoffErosivityIndex,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Dawen Yang for redistribution permission,yangdw@tsinghua.edu.cn (emailed 1/21/12)
,RUSLE_slope_steepness,rusle_lsfactor,RUSLE ls factor,file:/raid/geodata/coverages/global/erosion/lsfactor.tif,raster,soilRetentionService:SlopeSteepnessAndLengthFactor,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Dawen Yang for redistribution permission,yangdw@tsinghua.edu.cn (emailed 1/21/12)
,RUSLE_soil_erodibility,rusle_kfactor,RUSLE k factor,file:/raid/geodata/coverages/global/erosion/kfactor.tif,raster,habitat:SoilErodibility,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Dawen Yang for redistribution permission,yangdw@tsinghua.edu.cn (emailed 1/21/12)
,sheep_population,sheep,FAO Gridded Livestock of the World,file:/raid/geodata/coverages/global/livestock/sheep.tif,raster,waterSupplyService:SheepPopulation,measurement:Count,/km^2,EPSG:4326,EPSG:4326,Public,No,Dissemenation of material in this information product for educational or non-commercial purposes are authorized without any prior written permission from the copyright holders provided the source is fully acknowledged.,copyright@fao.org for commercial use questions
#,slope90m,slope90m,Global slope derived from SRTM 90 m DEM,file:/raid/geodata/coverages/slope90m_smoothed,raster,geophysics:DegreeSlope,measurement:Measurement,°,EPSG:4326,EPSG:4326,Public,Yes,Derived from NASA product,
,slope_bathymetric_global,slope_bathymetric_global,GEBCO Bathymetry Derived Slope,file:/raid/geodata/coverages/global/bathymetric_slope/GEBCO_80N_80S.tif,raster,geophysics:BathymetricSlope,measurement:Measurement,°,EPSG:4326,EPSG:4326,Public,Yes,GEBCO,
,snowmelt_annual,snowmelt_annual,"Annual snowmelt, U. of Delaware Global Water Balance Archive",file:/raid/geodata/coverages/global/snowmelt/snowmelt_annual.tif,raster,habitat:AnnualSnowmelt,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Cort Willmott - no info is on the site.,"Cort Willmott, willmott@udel.edu (emailed 1/21/12)"
,snowmelt_dec,snowmelt_dec,"Annual snowmelt, U. of Delaware Global Water Balance Archive",file:/raid/geodata/coverages/global/snowmelt/snowmelt_dec.tif,raster,habitat:DecemberSnowmelt,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Cort Willmott - no info is on the site.,"Cort Willmott, willmott@udel.edu (emailed 1/21/12)"
,snowmelt_jan,snowmelt_jan,"Annual snowmelt, U. of Delaware Global Water Balance Archive",file:/raid/geodata/coverages/global/snowmelt/snowmelt_jan.tif,raster,habitat:JanuarySnowmelt,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Contact Cort Willmott - no info is on the site.,"Cort Willmott, willmott@udel.edu (emailed 1/21/12)"
,soil_carbon_storage,soil_carbon_storage,FAO Digital Soil Map of the World,file:/raid/geodata/coverages/global/soilCarbonStorage/SoilCarbFinal.tif,raster,carbonService:SoilCarbonStorage,measurement:Measurement,t/ha,EPSG:4326,EPSG:4326,Uncertain,Uncertain,No copyright info available,freddy.nachtergaele@fao.org (emailed 1/21/12)
,soil_CN_ratio_global,soil_cn_global,FAO Digital Soil Map of the World,file:/raid/geodata/coverages/global/soilCN/SoilCNRatioFinal.tif,raster,habitat:SoilCNRatio,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,No copyright info available,freddy.nachtergaele@fao.org (emailed 1/21/12)
,soil_pH_0_30_global,soil_pH_0_30_global,FAO Digital Soil Map of the World,file:/raid/geodata/coverages/global/soilpH/soil_ph1.tif,raster,habitat:SoilPhShallow,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,No copyright info available,freddy.nachtergaele@fao.org (emailed 1/21/12)
,soil_pH_30_100_global,soil_pH_30_100_global,FAO Digital Soil Map of the World,file:/raid/geodata/coverages/global/soilpH/soil_ph2.tif,raster,habitat:SoilPhDeep,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,No copyright info available,freddy.nachtergaele@fao.org (emailed 1/21/12)
,summer_hi_winter_lo_global,sum_hi_wint_lo_global,Derived from WorldClim temperature data,file:/raid/geodata/coverages/global/summerHighWinterLow/SumHiWintLow.tif,raster,habitat:SummerHighWinterLow,measurement:Ranking,,EPSG:4326,EPSG:4326,Private,No,Redistribution not allowed without prior permission,Contacted early Jan 2012 with no response (http://www.worldclim.org/contact)
,tree_cover_africa,tree_cover_africa,Global tree cover from UMD GLCF,file:/raid/geodata/coverages/global/tree_cover/AfricaTreeCover.tif,raster,habitat:PercentTreeCanopyCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,University of Maryland; Department of Geography; use is free to all if acknowledgement is made. UMD holds ultimate copyright.,
,tree_cover_asia_pacific,tree_cover_asia_pacific,Global tree cover from UMD GLCF,file:/raid/geodata/coverages/global/tree_cover/AsiaPacificTreeCover.tif,raster,habitat:PercentTreeCanopyCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,University of Maryland; Department of Geography; use is free to all if acknowledgement is made. UMD holds ultimate copyright.,
,tree_cover_europe_asia,tree_cover_europe_asia,Global tree cover from UMD GLCF,file:/raid/geodata/coverages/global/tree_cover/EuropeAsiaTreeCover.tif,raster,habitat:PercentTreeCanopyCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,University of Maryland; Department of Geography; use is free to all if acknowledgement is made. UMD holds ultimate copyright.,
,tree_cover_north_america,tree_cover_north_america,Global tree cover from UMD GLCF,file:/raid/geodata/coverages/global/tree_cover/NorthAmericaTreeCover.tif,raster,habitat:PercentTreeCanopyCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,University of Maryland; Department of Geography; use is free to all if acknowledgement is made. UMD holds ultimate copyright.,
,tree_cover_south_america,tree_cover_south_america,Global tree cover from UMD GLCF,file:/raid/geodata/coverages/global/tree_cover/SouthAmericaTreeCover.tif,raster,habitat:PercentTreeCanopyCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,University of Maryland; Department of Geography; use is free to all if acknowledgement is made. UMD holds ultimate copyright.,
,tropical_storm_economic_risk,ts_economic_risk,CIESIN GDP at risk due to tropical storms,file:/raid/geodata/coverages/global/cyclones/gdcycgdp.tif,raster,policytarget:AssetsAtRiskStorm,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Uncertain,Private unless permission is granted,http://sedac.uservoice.com/knowledgebase (emailed 1/21/12; replied OK 1/22/12)
,tropical_storm_lives_risk,ts_lives_at_risk,CIESIN Lives at risk due to tropical storms,file:/raid/geodata/coverages/global/cyclones/gdcycmrt.tif,raster,policytarget:LivesAtRiskStorm,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Uncertain,Private unless permission is granted,http://sedac.uservoice.com/knowledgebase (emailed 1/21/12; replied OK 1/22/12)
,tropical_storm_probability,ts_probability,CIESIN World Data Center for Human Interactions in the Environment,file:/raid/geodata/coverages/global/cyclones/gdcyc.tif,raster,habitat:TropicalStormProbability,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Uncertain,Private unless permission is granted,http://sedac.uservoice.com/knowledgebase (emailed 1/21/12; replied OK 1/22/12)
,vegetation_carbon_global,biomass_carbon_global,ORNL-CDIAC Global Biomass Carbon for the Year 2000,file:/raid/geodata/coverages/global/vegetation_carbon_storage/c_1km_recl.tif,raster,carbonService:VegetationCarbonStorage,measurement:Measurement,t/ha,EPSG:4326,EPSG:4326,Public,Yes,,OK per hkgibbs@wisc.edu (1/22/12)
,global,,PostGIS database: global,postgis:global,,,,,,,,,,
,,coastal_buffer_global,Derived from Global self-consistent hierarchical high-resolution shorelines dataset,postgis:/raid/geodata/data/marine/coastal_buffer/CoastBuf.shp,polygon,fisheries:DistanceToCoast,measurement:Measurement,km,EPSG:4326,EPSG:4326,Public,Yes,Distributed under the GNU GPL,
,,coral_area_global,UNEP-WCMC World Atlas of Coral Reefs,postgis:/raid/geodata/data/marine/coral/coral1km_v7_2003_Area.shp,polygon,fisheries:CoralReefArea,measurement:Measurement,km^2,EPSG:4326,EPSG:4326,Private,No,http://www.unep-wcmc.org/general-data-licence-excluding-wdpa_559.html,
,,coral_global,Derived from UNEP-WCMC World Atlas of Coral Reefs,postgis:/raid/geodata/data/marine/coral/coralBleaching.shp,polygon,coastalProtection:CoralBleaching,observation:Categorization,,EPSG:4326,EPSG:4326,Private,No,http://www.unep-wcmc.org/general-data-licence-excluding-wdpa_559.html,
,,floodplains_global,Dartmouth Flood Observatory,postgis:/raid/geodata/data/global/flood_extents/GlobalFloodplains.shp,polygon,geofeatures:Floodplain,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Work is licensed under a Creative Commons Attribution 3.0 Unported License,
,,former_forests,UNEP-WCMC World Forest Map,postgis:/raid/geodata/data/global/former_forests/Former_Forests.shp,polygon,,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,GeoData UN,
,,hydrography_africa,USGS HYDRO1k hydrography,postgis:/raid/geodata/data/global/hydrography/af_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,,hydrography_asia,USGS HYDRO1k hydrography,postgis:/raid/geodata/data/global/hydrography/as_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,,hydrography_australia,USGS HYDRO1k hydrography,postgis:/raid/geodata/data/global/hydrography/au_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,,hydrography_australia_continent,Global Map Australia,postgis:/raid/geodata/data/global/hydrography/australia_hydrography.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,"Attribute data as ""Commonwealth of Australia (Geoscience Australia) 2012. This material is released unde rthe Creative Commons Attribution 3.0 Australia License.""",Per email 2/6/12
,,hydrography_europe,USGS HYDRO1k hydrography,postgis:/raid/geodata/data/global/hydrography/eu_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,,hydrography_namerica,USGS HYDRO1k hydrography,postgis:/raid/geodata/data/global/hydrography/na_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,,hydrography_samerica,USGS HYDRO1k hydrography,postgis:/raid/geodata/data/global/hydrography/sa_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
,,mangrove_width_global,"UNEP-WCMC; FIXME: This measure is the length, not the width",postgis:/raid/geodata/data/marine/mangroves/mang_97_2.shp,polygon,coastalProtection:MangroveWidth,measurement:Measurement,m,EPSG:4326,EPSG:4326,Private,No,http://www.unep-wcmc.org/general-data-licence-excluding-wdpa_559.html,
,,national_boundaries,,postgis:/raid/geodata/data/global/national_boundaries/cntry02.shp,polygon,geofeatures:Country,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,,
,,railroads_global,Digital Chart of the World Railroads,postgis:/raid/geodata/data/global/railways/Global_Rail_Merge.shp,line,infrastructure:Railway,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,DCW,
,,reservoirs_global,GRanD: Global reservoirs and dams database,postgis:/raid/geodata/data/global/GRanD_reservoirs/GRanD_reservoirs_v1_1.shp,polygon,geofeatures:Reservoir,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,"""Users shall not… redistribute… the data… without explicit written permission from the authors"" (emailed 1/5/12)",
,,roads_global,Digital Chart of the World Roads,postgis:/raid/geodata/data/global/roads/Global_Road_Merge.shp,line,infrastructure:Highway,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,DCW,
,,seagrass_global,UNEP-WCMC World Atlas of Seagrasses,postgis:/raid/geodata/data/marine/seagrass/seagpol_v2_2.shp,polygon,coastalProtection:SeagrassPresence,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Private,No,http://www.unep-wcmc.org/general-data-licence-excluding-wdpa_559.html,
,,soil_texture_global,Derived from FAO Digital Soil Map of the World,postgis:/raid/geodata/data/global/soil_texture/Texture.shp,polygon,habitat:SoilTexture,observation:Categorization,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,No copyright info available,freddy.nachtergaele@fao.org (emailed 1/21/12)
,,storm_tracks_global,NOAA Global Storm Tracks,postgis:/raid/geodata/data/global/storm_tracks/Storm_Tracks.shp,line,coastalProtection:StormTracks,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,NOAA Product,
,,terrestrial_ecoregions,WWF Terrestrial Ecoregions Database,postgis:/raid/geodata/data/global/biomes/terrestrial_ecoregions/wwf_terr_ecos.shp,polygon,ecology:TerrestrialEcoregion,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,"No concern here: data will not be displayed, just used for intelligent model selection.",
,,wdpa2a,World Database on Protected Areas,postgis:/raid/geodata/data/global/protected_areas/wdpa_2a/WDPA_NATpol2009.shp,polygon,conservation:ProtectedStatus,measurement:Ranking,,EPSG:4326,EPSG:4326,Private,Uncertain,"""You may not redistribute the WDPA Data contained in the WDPA in whole or in part by any means including (but not limited to) electronic formats such as web downloads, through web services, through interactive web maps that grant users download access, KML Files or through file transfer protocols. If you know of others who wish to use the WDPA Data please refer them to protectedplanet.net.""",
,,wdpa2b,,postgis:/raid/geodata/data/global/protected_areas/wdpa_2b/WDPA_INTpol2009.shp,polygon,,,,EPSG:4326,EPSG:4326,Private,Uncertain,"""You may not redistribute the WDPA Data contained in the WDPA in whole or in part by any means including (but not limited to) electronic formats such as web downloads, through web services, through interactive web maps that grant users download access, KML Files or through file transfer protocols. If you know of others who wish to use the WDPA Data please refer them to protectedplanet.net.""",
europe,,,,,,,,,,,,,,
,corine_2000,corine2000,CORINE land use data 2000,file:/raid/geodata/coverages/europe/corine2000/corine2000.tif,raster,corine:CORINENumeric,measurement:NumericCoding,,EPSG:3035,EPSG:3035,Public,Yes,"""Unless otherwise indicated, re-use of content on the EEA website for commercial or non-commercial purposes is permitted free of charge, provided that the source is acknowledged.""",
,europe,,PostGIS database: europe,postgis:europe,,,,,,,,,,
